iter	Passed	Remaining
756	1145	367
757	1147	366
758	1148	364
759	1149	362
760	1150	361
761	1151	359
762	1153	358
763	1154	356
764	1155	354
765	1156	353
766	1158	351
767	1159	350
768	1160	348
769	1162	347
770	1163	345
771	1164	343
772	1165	342
773	1166	340
774	1167	339
775	1168	337
776	1170	335
777	1171	334
778	1172	332
779	1174	331
780	1175	329
781	1176	328
782	1177	326
783	1179	324
784	1180	323
785	1181	321
786	1183	320
787	1184	318
788	1186	317
789	1187	315
790	1189	314
791	1190	312
792	1191	311
793	1193	309
794	1194	308
795	1196	306
796	1197	305
797	1199	303
798	1200	301
799	1202	300
800	1203	298
801	1204	297
802	1206	295
803	1207	294
804	1208	292
805	1209	291
806	1211	289
807	1212	288
808	1213	286
809	1214	284
810	1216	283
811	1217	281
812	1219	280
813	1221	279
814	1222	277
815	1223	275
816	1224	274
817	1225	272
818	1226	271
819	1228	269
820	1229	268
821	1230	266
822	1232	264
823	1233	263
824	1235	262
825	1236	260
826	1237	258
827	1239	257
828	1240	255
829	1241	254
830	1243	252
831	1244	251
832	1246	249
833	1247	248
834	1248	246
835	1250	245
836	1251	243
837	1252	242
838	1254	240
839	1255	239
840	1256	237
841	1258	236
842	1259	234
843	1260	233
844	1262	231
845	1263	230
846	1265	228
847	1266	227
848	1268	225
849	1269	224
850	1270	222
851	1271	220
852	1273	219
853	1274	217
854	1275	216
855	1277	214
856	1278	213
857	1280	211
858	1281	210
859	1282	208
860	1283	207
861	1285	205
862	1286	204
863	1288	202
864	1289	201
865	1291	199
866	1292	198
867	1293	196
868	1295	195
869	1296	193
870	1297	192
871	1299	190
872	1300	189
873	1301	187
874	1302	186
875	1304	184
876	1305	183
877	1307	181
878	1308	180
879	1309	178
880	1311	177
881	1312	175
882	1313	174
883	1315	172
884	1316	171
885	1317	169
886	1318	168
887	1320	166
888	1321	165
889	1323	163
890	1324	162
891	1325	160
892	1326	158
893	1327	157
894	1328	155
895	1330	154
896	1331	152
897	1332	151
898	1333	149
899	1334	148
900	1335	146
901	1337	145
902	1338	143
903	1339	142
904	1340	140
905	1341	139
906	1342	137
907	1343	136
908	1345	134
909	1346	133
910	1347	131
911	1348	130
912	1349	128
913	1351	127
914	1352	125
915	1353	124
916	1355	122
917	1356	121
918	1357	119
919	1358	118
920	1359	116
921	1360	115
922	1362	113
923	1363	112
924	1364	110
925	1365	109
926	1367	107
927	1368	106
928	1369	104
929	1371	103
930	1372	101
931	1373	100
932	1374	98
933	1376	97
934	1377	95
935	1378	94
936	1379	92
937	1380	91
938	1382	89
939	1383	88
940	1384	86
941	1385	85
942	1386	83
943	1388	82
944	1389	80
945	1390	79
946	1391	77
947	1392	76
948	1393	74
949	1395	73
950	1396	71
951	1397	70
952	1399	68
953	1400	67
954	1401	66
955	1402	64
956	1403	63
957	1404	61
958	1406	60
959	1407	58
960	1409	57
961	1410	55
962	1412	54
963	1413	52
